class_id	class_name	class_source	class_type	url
CHEBI:21241	vitamin C	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A21241
CHEBI:22153	acaricide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A22153
CHEBI:22917	phytogenic insecticide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A22917
CHEBI:24127	fungicide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A24127
CHEBI:24852	insecticide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A24852
CHEBI:27780	detergent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A27780
CHEBI:33231	antitubercular agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A33231
CHEBI:33286	agrochemical	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A33286
CHEBI:33288	rodenticide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A33288
CHEBI:33289	avicide	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A33289
CHEBI:33295	diagnostic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A33295
CHEBI:35232	radiopharmaceutical	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35232
CHEBI:35337	central nervous system stimulant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35337
CHEBI:35441	antiinfective agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35441
CHEBI:35442	antiparasitic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35442
CHEBI:35443	anthelminthic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35443
CHEBI:35444	antinematodal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35444
CHEBI:35457	EC 3.4.15.1 (peptidyl-dipeptidase A) inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35457
CHEBI:35469	antidepressant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35469
CHEBI:35470	central nervous system drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35470
CHEBI:35471	psychotropic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35471
CHEBI:35472	anti-inflammatory drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35472
CHEBI:35473	tranquilizing drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35473
CHEBI:35474	anxiolytic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35474
CHEBI:35475	non-steroidal anti-inflammatory drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35475
CHEBI:35476	antipsychotic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35476
CHEBI:35477	antimanic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35477
CHEBI:35480	analgesic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35480
CHEBI:35481	non-narcotic analgesic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35481
CHEBI:35482	opioid analgesic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35482
CHEBI:35488	central nervous system depressant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35488
CHEBI:35493	antipyretic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35493
CHEBI:35497	androgen antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35497
CHEBI:35498	diuretic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35498
CHEBI:35499	hallucinogen	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35499
CHEBI:35522	beta-adrenergic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35522
CHEBI:35523	bronchodilator agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35523
CHEBI:35524	sympathomimetic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35524
CHEBI:35526	hypoglycemic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35526
CHEBI:35530	beta-adrenergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35530
CHEBI:35554	cardiovascular drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35554
CHEBI:35569	alpha-adrenergic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35569
CHEBI:35610	antineoplastic agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35610
CHEBI:35620	vasodilator agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35620
CHEBI:35623	anticonvulsant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35623
CHEBI:35640	adrenergic uptake inhibitor	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35640
CHEBI:35674	antihypertensive agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35674
CHEBI:35678	histamine agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35678
CHEBI:35679	antilipemic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35679
CHEBI:35705	immunosuppressive agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35705
CHEBI:35717	sedative	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35717
CHEBI:35816	leprostatic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35816
CHEBI:35818	coccidiostat	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35818
CHEBI:35820	antiprotozoal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35820
CHEBI:35821	anticholesteremic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35821
CHEBI:35841	uricosuric drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35841
CHEBI:35842	antirheumatic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35842
CHEBI:35845	gout suppressant	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35845
CHEBI:35846	renal agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35846
CHEBI:35941	serotonergic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35941
CHEBI:35942	neurotransmitter agent	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A35942
CHEBI:36044	antiviral drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36044
CHEBI:36047	antibacterial drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36047
CHEBI:36063	oxytocic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36063
CHEBI:36333	local anaesthetic	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36333
CHEBI:36335	trypanocidal drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36335
CHEBI:36710	interferon inducer	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A36710
CHEBI:37338	radioopaque medium	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37338
CHEBI:37886	adrenergic agonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37886
CHEBI:37887	adrenergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37887
CHEBI:37890	alpha-adrenergic antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37890
CHEBI:37930	phenothiazine antipsychotic drug	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37930
CHEBI:37955	H1-receptor antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37955
CHEBI:37956	histamine antagonist	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37956
CHEBI:37958	dye	CHEBI	Application	http://identifiers.org/chebi/CHEBI%3A37958
