drugbank_id	drugbank_name	class_id	class_name
DB00014	Goserelin	N0000175655	Gonadotropin Releasing Hormone Receptor Agonist
DB00014	Goserelin	N0000175654	Gonadotropin Releasing Hormone Receptor Agonists
DB00014	Goserelin	D000970	Antineoplastic Agents
DB00014	Goserelin	D018931	Antineoplastic Agents, Hormonal
DB00035	Desmopressin	N0000175916	Factor VIII Activator
DB00035	Desmopressin	N0000175914	Increased Coagulation Factor VIII Activity
DB00035	Desmopressin	N0000175915	Increased Coagulation Factor VIII Concentration
DB00035	Desmopressin	N0000175905	Vasopressin Analog
DB00035	Desmopressin	N0000006320	Vasopressins
DB00035	Desmopressin	CHEBI:59727	vasopressin receptor agonist
DB00035	Desmopressin	CHEBI:35846	renal agent
DB00035	Desmopressin	CHEBI:33295	diagnostic agent
DB00050	Cetrorelix	N0000008638	Decreased GnRH Secretion
DB00050	Cetrorelix	N0000175839	Gonadotropin Releasing Hormone Antagonist
DB00050	Cetrorelix	N0000175084	Gonadotropin Releasing Hormone Receptor Antagonists
DB00050	Cetrorelix	CHEBI:59229	GnRH antagonist
DB00050	Cetrorelix	CHEBI:35610	antineoplastic agent
DB00050	Cetrorelix	D005300	Fertility Agents, Female
DB00050	Cetrorelix	D006727	Hormone Antagonists
DB00050	Cetrorelix	D012102	Reproductive Control Agents
DB00091	Cyclosporine	N0000175457	Calcineurin Inhibitor Immunosuppressant
DB00091	Cyclosporine	N0000182141	Cytochrome P450 3A4 Inhibitors
DB00091	Cyclosporine	N0000185503	P-Glycoprotein Inhibitors
DB00091	Cyclosporine	D000890	Anti-Infective Agents
DB00091	Cyclosporine	CHEBI:35842	antirheumatic drug
DB00091	Cyclosporine	CHEBI:50177	dermatologic drug
DB00091	Cyclosporine	CHEBI:35705	immunosuppressive agent
DB00091	Cyclosporine	CHEBI:49167	anti-asthmatic drug
DB00091	Cyclosporine	D000935	Antifungal Agents
DB00091	Cyclosporine	D018501	Antirheumatic Agents
DB00091	Cyclosporine	D065095	Calcineurin Inhibitors
DB00091	Cyclosporine	D003879	Dermatologic Agents
DB00091	Cyclosporine	D004791	Enzyme Inhibitors
DB00091	Cyclosporine	D007155	Immunologic Factors
DB00091	Cyclosporine	D007166	Immunosuppressive Agents
DB00093	Felypressin	CHEBI:50514	vasoconstrictor agent
DB00093	Felypressin	CHEBI:59727	vasopressin receptor agonist
DB00093	Felypressin	D002317	Cardiovascular Agents
DB00093	Felypressin	D014662	Vasoconstrictor Agents
DB00104	Octreotide	N0000175904	Somatostatin Analog
DB00104	Octreotide	N0000000194	Somatostatin Receptor Agonists
DB00104	Octreotide	CHEBI:51060	hormone agonist
DB00104	Octreotide	D000970	Antineoplastic Agents
DB00104	Octreotide	D018931	Antineoplastic Agents, Hormonal
DB00104	Octreotide	D005765	Gastrointestinal Agents
DB00115	Cyanocobalamin	N0000006276	Vitamin B 12
DB00115	Cyanocobalamin	N0000175951	Vitamin B12
DB00121	Biotin	CHEBI:75769	B vitamin
DB00121	Biotin	CHEBI:50733	nutraceutical
DB00121	Biotin	D006133	Growth Substances
DB00121	Biotin	D018977	Micronutrients
DB00121	Biotin	D014803	Vitamin B Complex
DB00121	Biotin	D014815	Vitamins
DB00122	Choline	CHEBI:50370	parasympatholytic
DB00122	Choline	CHEBI:63726	neuroprotective agent
DB00122	Choline	D000700	Analgesics
DB00122	Choline	D018712	Analgesics, Non-Narcotic
DB00122	Choline	D000893	Anti-Inflammatory Agents
DB00122	Choline	D000894	Anti-Inflammatory Agents, Non-Steroidal
DB00122	Choline	D018501	Antirheumatic Agents
DB00122	Choline	D018689	Sensory System Agents
DB00936	Salicylic acid	D000700	Analgesics
DB00936	Salicylic acid	D018712	Analgesics, Non-Narcotic
DB00936	Salicylic acid	D000893	Anti-Inflammatory Agents
DB00936	Salicylic acid	D000894	Anti-Inflammatory Agents, Non-Steroidal
DB00936	Salicylic acid	D018501	Antirheumatic Agents
DB00936	Salicylic acid	D018689	Sensory System Agents
DB00122	Choline	D000963	Antimetabolites
DB00122	Choline	D002491	Central Nervous System Agents
DB00122	Choline	D005765	Gastrointestinal Agents
DB00122	Choline	D000960	Hypolipidemic Agents
DB00122	Choline	D008082	Lipotropic Agents
DB00122	Choline	D018697	Nootropic Agents
DB00126	Vitamin C	CHEBI:21241	vitamin C
DB00126	Vitamin C	CHEBI:64577	flour treatment agent
DB00126	Vitamin C	CHEBI:77962	food antioxidant
DB00126	Vitamin C	D000975	Antioxidants
DB00126	Vitamin C	D006133	Growth Substances
DB00126	Vitamin C	D018977	Micronutrients
DB00126	Vitamin C	D020011	Protective Agents
DB00126	Vitamin C	D014815	Vitamins
DB00132	Alpha-Linolenic Acid	CHEBI:50733	nutraceutical
DB00136	Calcitriol	N0000006996	Cholecalciferol
DB00136	Calcitriol	N0000175908	Vitamin D3 Analog
DB00136	Calcitriol	CHEBI:50733	nutraceutical
DB00136	Calcitriol	CHEBI:50748	antipsoriatic
DB00136	Calcitriol	CHEBI:50846	immunomodulator
DB00136	Calcitriol	CHEBI:35610	antineoplastic agent
DB00136	Calcitriol	CHEBI:50646	bone density conservation agent
DB00136	Calcitriol	D050071	Bone Density Conservation Agents
DB00136	Calcitriol	D002120	Calcium Channel Agonists
DB00136	Calcitriol	D002317	Cardiovascular Agents
DB00136	Calcitriol	D006133	Growth Substances
DB00136	Calcitriol	D049990	Membrane Transport Modulators
DB00136	Calcitriol	D018977	Micronutrients
DB00136	Calcitriol	D014662	Vasoconstrictor Agents
DB00136	Calcitriol	D014815	Vitamins
DB00137	Xanthophyll	CHEBI:77182	food colouring
DB00139	Succinic acid	CHEBI:49201	anti-ulcer drug
