GeneID	drugbank_id	drugbank_name	TARGET_NAME	TARGET_FAMILY	ACTION_TYPE	SOURCE	REFERENCE
8233868	DB00431	Lindane	GABA-A receptor	Ion channel	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15891
8232849	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8232852	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8238272	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8238273	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8238275	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8232002	DB08823	Spinosad	Nicotinic acetylcholine receptor	Ion channel	AGONIST	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL2040681
8232983	DB00431	Lindane	GABA-A receptor	Ion channel	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15891
8239847	DB00431	Lindane	GABA-A receptor	Ion channel	NEGATIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL15891
10378847	DB00400	Griseofulvin	Tubulin	Structural	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL562
10371174	DB00400	Griseofulvin	Tubulin	Structural	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL562
4728	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
5138	DB00975	Dipyridamole	cGMP-dependent 3',5'-cyclic phosphodiesterase	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL932
4697	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
2568	DB00306	Talbutal	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200802
2568	DB00753	Isoflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256
2568	DB00801	Halazepam	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL970
2568	DB01028	Methoxyflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1341
2568	DB01154	Thiamylal	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL440
2568	DB01159	Halothane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL931
2568	DB01189	Desflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200733
2568	DB01236	Sevoflurane	GABA-A receptor; anion channel	Ion channel	POSITIVE ALLOSTERIC MODULATOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200694
2703419	DB00632	Docosanol	Envelope glycoprotein	Membrane other	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200453
4706	DB00331	Metformin	Mitochondrial complex I (NADH dehydrogenase)	Enzyme	INHIBITOR	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1431
3777	DB00228	Enflurane	Potassium channel subfamily K member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1257
3777	DB00561	Doxapram	Potassium channel subfamily K member 3	Ion channel	BLOCKER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL400535
3777	DB00753	Isoflurane	Potassium channel subfamily K member 3	Ion channel	OPENER	CHEMBL	https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1256
